Year,Mint Mark,Denomination,Program/Series,Theme/Subject,Condition,Cost,AI Estimated Value,Certification Number,Storage Location,Added
"1937","","Dime","Mercury Dime","Winged Liberty Head","Average Circulated","$14.25","Pending","","",""
"1848","","Large Cent","Braided Hair Large Cents","Liberty Head","Very Good","$95.00","$20 – $35","","",""
"2018","P","Quarter","National Park Quarters","Wisconsin Apostle Islands National Lakeshore","Uncirculated","$1.00","$0.50 – $2.00","","",""
"1934","C","$10 Federal Reserve Note","American Paper Money Club Selection","Federal Reserve Note","Very Fine","$65.50","","","",""
"1976","D","Dollar","Eisenhower Dollar","Variety 1","Uncirculated","$13.50","$3 – $8","","",""
"1907","","$5 Legal Tender Note Large Size","American Paper Money Club Selection","Legal Tender Note","Fine/Very Fine","$430.00","","","",""
"2019","D","Dime","America the Beautiful Quarters","Unmapped","Uncirculated","2.00","Pending","","",""
"2007S","","","Clad Proof Set 14 coins","Unmapped","ch proof 63","$56.00","","","",""
"1974","S","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Proof-63 Cameo","$6.95","Pending","","",""
"2010-2021","","Quarter","National Park Quarters","Unmapped","Uncirculated","$14.95","","","",""
"2020","P","Dollar","The Complete 2020 American Eagle NGCX Silver Dollar Set","American Eagle","Uncirculated","$298.00","","","",""
"1891","O","$1","Morgan Silver Dollar","Unmapped","MS-65","1995.0","$18,000 – $24,000","","",""
"2023","","Peace Dollar","The Ultimate Modern Morgan and Peace Silver Dollar Collection","Unmapped","Uncirculated","$229.00","Pending","","",""
"2015","S","Dime","America the Beautiful Quarters","Unmapped","Choice Proof-63","9.75","$3 – $7","","",""
"1941","S","Quarter","Washington Silver Quarter","Unmapped","Fine","26.25","Pending","","",""
"1940","","Penny","Lincoln Cent","Wheat Reverse","Genuine","$0.00","$0.15 - $0.75","","",""
"1921","D","Half Dollar","Liberty Walking Half Dollar","Liberty Walking","Very Good","$585.00","Pending","","",""
"1823","","Capped Bust Silver Dime","Capped Bust","Silver Dime","Good 6","$23.00","Pending","","",""
"1962","D","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Uncirculated","$0.00","Pending","","",""
"1962","D","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Uncirculated","$0.00","Pending","","",""
"1908","","Five Cents","The U.S. Nickel Collection - Shipment 13","Unmapped","","$7.95","","","",""
"1997","S","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Proof-63 Cameo","$56.50","Pending","","",""
"1910","D","Dime","Barber Series","Liberty Head","Fine","$26.50","Pending","","",""
"2025","D","1 Quarter","American Women Quarters Program","Ida B. Wells","Uncirculated","$1.00","$1.00 – $3.00","","",""
"1984","P","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","2.25","$1.00 – $3.00","","",""
"1982","D","Penny","Lincoln Head Penny","Large Date Zinc","Uncirculated","","$0.15 – $1.50","","",""
"1910","O","25 Cents","Barber Silver Quarters","Liberty Head","Very Good","$40.00","Pending","","",""
"1945","S","Quarter","Washington Quarter","Unmapped","Average Circulated","$0.00","Pending","","",""
"1863-1867","","25C Fractional Currency","USA Invoice Import","Unmapped","Unc-64 Premium","$464.00","","","",""
"1936","D","Penny","Lincoln Head Penny","Unmapped","Average Circulated","$135.00","Pending","","",""
"1905","O","Half Dollar","Barber","Liberty Head","Circulated","$65.00","Pending","","",""
"1879","S","1 Dollar","Morgan Silver Dollars","Liberty Head","AU-50","$105.00","Pending","","",""
"1975","S","Dime","Roosevelt Dimes","Unmapped","Choice Proof 63","4.75","Pending","","",""
"1906","P","Barber Silver Dimes","Barber Dimes","Liberty Head","Very Good","$26.95","Pending","","",""
"1942","","Nickel","Jefferson Nickel","Time Capsule","Circulated","$19.80","Pending","","",""
"2007","D","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$5.50","$1.00 – $3.00","","",""
"1931","","Penny","Lincoln Cent","Abraham Lincoln","Very Good","$5.50","$0.15 – $0.50","","",""
"1926","D","Dollar","Peace Dollar","Unmapped","Extremely Fine","$97.50","$45 – $65","","",""
"2016","","Dollar","The Complete Original-Design Proof Silver Eagle Dollar Collection","American Eagle Silver Dollar","Proof","$69.20","","","",""
"2018","P","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","points","$1.50 – $3.50","","",""
"1880","O","1 Dollar","Morgan Silver Dollars","Unmapped","About Uncirculated 50","$110.00","$65 – $85","","",""
"2016","D","$1","Presidential $1 Coin Program","Ronald Reagan","Uncirculated","3.50","$2.50 – $4.50","","",""
"2009","","Cent","Lincoln Bicentennial cents colorized and gold plated 8 coin set","Unmapped","","$6.95","$10 – $25","","",""
"2004","S","Quarter","State and Territory Quarters","Wisconsin","Choice Proof 63","8.5","$4 – $12","","",""
"1879","","Quarter","Liberty Seated","Liberty Seated, Arrows at Date","Very Good","$94.95","Pending","","",""
"1957","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Genuine","","Pending","","",""
"1897","S","Half Dollar","Barber","Liberty Head","Very Good","$410.00","Pending","","",""
"1946","","Half Dollar","Half Dollar Club Selection","Liberty Walking","Very Fine","$170.00","","","",""
"1960","","Half Dollar","Franklin Half Dollar","Unmapped","Circulated","$18.60","Pending","","",""
"2025","P","Dime","USA Invoice Import","Roosevelt","Uncirculated","$2.95","","","",""
"2009","P","Quarter","State and Territory Quarters","District of Columbia Commemorative","Uncirculated","2.75","Pending","","",""
"1989","S","Dollar","American Eagle","Unmapped","Proof-63","$125.00","Pending","","",""
"1964","","Nickel","","Unmapped","Average Circulated","$1.80","Pending","","",""
"2024","","Dollar","The Statehood Innovation Dollar Coin Collection","Illinois","","$17.95","","","",""
"1994","P","Dime","Roosevelt Dimes","Unmapped","Uncirculated","3.00","$1 – $3","","",""
"1889","","","","Unmapped","Extremely Fine","$36.00","$45 – $65","","",""
"1925","","Quarter","Standing Liberty Quarter","Unmapped","Good","$30.00","Pending","","",""
"2014","P","Quarter","America the Beautiful Quarters","Great Smoky Mountains National Park","Uncirculated","$1.25","$0.25 – $1.50","","",""
"1999","D","Quarter","State and Territory Quarters","Pennsylvania","Uncirculated","2.5","$0.50 – $1.50","","",""
"1942","P","Nickel","Jefferson Wartime Nickel","Unmapped","Average Circulated","$0.00","$1.50 – $3.00","","",""
"2013","P","$1","Presidential $1 Coin Program","William Howard Taft","Uncirculated","2.95","$2.00 – $4.00","","",""
"1986","","Penny","Lincoln Cent","Abraham Lincoln","Mint State","$2.50","Pending","","",""
"1909","","Penny","Lincoln Cent","Unmapped","Very Fine","\.00","$3 – $5","","",""
"1971","S","Penny","Lincoln Cent","Lincoln Memorial Reverse","Proof 63 Choice","$6.50","$5.00 - $12.00","","",""
"1936","S","Half Dollar","Liberty Walking Half Dollar","Liberty Walking","Very Good","$42.95","Pending","","",""
"1957","D","Half Dollar","USA Invoice Import","Unmapped","Good","$0.00","","","",""
"1972","S","1 Dollar","Eisenhower Dollar","Dwight D. Eisenhower","UNC 63","$31.35","$12 – $18","","",""
"1915","S","Barber Silver Dimes","Barber Dimes","Liberty Head","Very Good","$46.95","Pending","","",""
"2003","S","1 Dollar","Sacagawea Dollar","Sacagawea Dollar","Proof-63","$13.95","Pending","","",""
"1871","","Quarter Dollar","Washington Quarter Club Selection","Liberty Seated","Extremely Fine","$432.00","","","",""
"2006","P","1 Dollar","Sacagawea Dollar","Sacagawea Dollar","Uncirculated","$12.50","Pending","","",""
"1916","","Five Cents","The U.S. Nickel Collection","Unmapped","","$7.95","","","",""
"1932","S","Quarter","Washington Silver Quarter","Unmapped","Fine","300.00","Pending","","",""
"2020S","","Quarter","National Park quarters Silver Proof Year set 5 coins","Unmapped","ch proof 63","$74.95","","","",""
"1941","","Quarter","Washington Silver Quarter","Unmapped","About Uncirculated","24.50","Pending","","",""
"1837","","Half Dime","U.S. Dime Collection Selection","Liberty Seated","Choice About Uncirculated","$1,212.00","","","",""
"2007","P","$1","Presidential $1 Coin Program","John Adams","Uncirculated","4.95","$1.50 – $3.00","","",""
"2017","D","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$1.95","Pending","","",""
"1876","","Quarter","Liberty Seated","Unmapped","Very Fine","$99.00","$45 – $65","","",""
"1997","P","Dime","Roosevelt Dimes","Unmapped","Uncirculated","5.00","$1.00 – $3.00","","",""
"1957","","Quarter","Washington Quarter","Unmapped","Circulated","$21.80","Pending","","",""
"2011","","Dollar","America the Beautiful Quarters","Unmapped","Uncirculated","$53.50","$35 – $45","","",""
"2013S","","","Clad Proof Set 14 coins","Unmapped","ch proof 63","$158.00","Pending","","",""
"2009","D","Penny","Lincoln Head Penny","Birth and Early Childhood Reverse","Uncirculated","","Pending","","",""
"1940","D","Quarter","Washington Silver Quarter","Unmapped","Average Circulated","24.95","$8 – $12","","",""
"1934","","Five Cents","The U.S. Nickel Collection","Unmapped","","$7.95","","","",""
"1927","S","Half Dollar","Walking Liberty Half Dollar","Unmapped","Very Good","$54.00","$15 – $25","","",""
"1919","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Not Graded","$0.00","$0.15 – $15.00","","",""
"2001","P","Kennedy Half Dollar","","Unmapped","Uncirculated","$7.65","$1 – $3","","",""
"1987","D","Dime","Roosevelt Dime","Unmapped","Uncirculated","2.25","Pending","","",""
"1844","","Half Dollar","Liberty Seated","No Motto","Average Circulated","$112.50","$75 – $150","","",""
"1891","CC","Dollar","Morgan Silver Dollar","Liberty Head, Eagle, Spitting Eagle","Select Uncirculated","$1250.00","$1,100 – $1,500","","",""
"1886","O","1 Dollar","Morgan Silver Dollars","Liberty Head","Extremely Fine","$120.00","Pending","","",""
"1941","S","Penny","Lincoln Cent","Unmapped","Average Circulated",".50","$0.15 – $0.50","","",""
"2023","D","Kennedy Half Dollar","","Unmapped","Uncirculated","$0.00","$1.00 – $3.00","","",""
"2022","S","Dime","Roosevelt Dimes","Unmapped","Choice Proof 63","1.95","$5 – $12","","",""
"1931","D","Penny","Lincoln Cent Series","Abraham Lincoln","Very Fine","$24.75","Pending","","",""
"2021","P","Native American Dollar","Native American Dollar Program","Military Service","Uncirculated","$0.00","Pending","","",""
"1873","","Quarter","Liberty Seated","Liberty Seated, With Motto, Open 3","VF/EF","$165.00","$125 – $225","","",""
"1819","","Capped Bust Silver Quarter","","Unmapped","Good","$210.00","$120 – $180","","",""
"1962","","Penny","Lincoln Head Penny","Abraham Lincoln","Choice Proof 63","$1.50","$1 – $3","","",""
"1976","D","Penny","Lincoln Head Penny","Abraham Lincoln","Uncirculated","$0.45","$0.15 – $1.50","","",""
"1910","S","Half Dollar","Barber","Liberty Head","Circulated","$47.75","Pending","","",""
"1953","S","Penny","Lincoln Head Cent","Unmapped","Average Circulated","$0.70","$0.05 – $0.15","","",""
"1968","D","Penny","Lincoln Cent","Abraham Lincoln","Uncirculated","$0.40","$0.15 – $1.50","","",""
"1969","","Quarter","Washington Quarter","Unmapped","Uncirculated","9.25","$1.00 – $3.00","","",""
"1921","P, D, S","$1","Morgan Silver Dollar","Unmapped","MS-65","995","$150 – $1,250","","",""
"1906","","Dime","Barber","Unmapped","Good","$0.00","","","",""
"2023","","Dollar","The Ultimate Modern Morgan and Peace Silver Dollar Collection","Morgan Dollar","Uncirculated","$229.00","","","",""
"2001","S","Quarter","50 State Quarters","Vermont Commemorative","Choice Proof 63","19.5","$4 – $12","","",""
"2024","","Quarter Dollar","The Celebrating America Coin Collection","Rev. Dr. Pauli Murray","","$17.95","","","",""
"1938","","Capped Bust Silver Quarter","","Unmapped","Fine","$270.00","Pending","","",""
"2022","S","Quarter","American Women Quarters","Nina Otero-Warren","Proof-63","$7.75","$3 – $7","","",""
"1861","O","Half Dollar","Seated Liberty","No Motto","VG-2","$135.00","$100 – $150","","",""
"1915","","Penny","Lincoln Cent","Abraham Lincoln","Not Graded","$0.00","$0.50 – $15.00","","",""
"2006S","","","Clad Proof Set 10 Coins","Unmapped","ch proof 63","$32.95","$25 – $35","","",""
"1934","A","$100 Federal Reserve Note","Federal Reserve Note","Unmapped","Fine","$295.00","","","",""
"1934","A","$10 Silver Certificate","American Paper Money Club Selection","Yellow Seal BA Block","Unc-66 Prem","$1,282.00","","","",""
"1880","S","1 Dollar","Morgan Silver Dollars","Liberty Head","Extremely Fine","$96.00","Pending","","",""
"2004","S","Dime","Roosevelt Dimes","Unmapped","Choice Proof 63","22.50","Pending","","",""
"1853","","Large Cent","Braided Hair Large Cents","Liberty Head","About Uncirculated","$239.00","Pending","","",""
"1852","","Dime","Liberty Seated Silver Dime","Unmapped","Very Good","$60.00","Pending","","",""
"2018","S","Quarter","National Park Quarters","Michigan Pictured Rocks National Seashore","Proof-63","$11.75","Pending","","",""
"1944","","","America Revisited Selection","Time Capsule Year Set","Circulated","$184.00","","","",""
"1980","S","Quarter","Washington Silver Quarter","Unmapped","Choice Proof 63","2.50","Pending","","",""
"1890","","","","Unmapped","Average Circulated","$99.00","Pending","","",""
"1923","S","Dollar","Peace Dollar","Unmapped","Very Fine","$0.00","$32 – $38","","",""
"1883","CC","$1","Morgan Silver Dollar","Unmapped","NGC MS61 PL","895.0","$1,100 - $1,600","","",""
"1952","","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Average Circulated","$37.95","$12 – $16","","",""
"1995","S","Quarter Dollar","USA Invoice Import","Unmapped","Ch Proof-63","$0.00","","","",""
"2022","S","Quarter","American Women Quarters","Anna Mae Wong","Proof-63","$25.75","$12 – $20","","",""
"1939","","5-Coin Set","America Revisited Club","Time Capsule Year Set","Circulated","$103.00","","","",""
"1928","","Dollar","Peace Dollar","Unmapped","About Uncirculated","$608.00","$250 – $350","","",""
"1880","","1 Dollar","Morgan Silver Dollar","Liberty Head","Ungraded","$1818.00","Pending","","",""
"2020P","","quarter","National Park Quarters","Unmapped","uncirculated","$1.50","$1.00 – $3.00","","",""
"1828","","Capped Bust Silver Half Dollar","Capped Bust Half Dollar","Capped Bust Liberty","Choice AU58","$2250.00","$850 – $1,200","","",""
"2005","S","Quarter","State and Territory Quarters","Kansas","Choice Proof 63","4.75","$3 – $8","","",""
"1876","","Half Dollar","Liberty Seated","With Motto","Genuine","$108.00","$45 – $125","","",""
"1941","S","Half Dollar","Liberty Walking Half Dollar","Unmapped","Fine","$38.95","Pending","","",""
"1918","S","Quarter","Standing Liberty Silver Quarter","Unmapped","Fine","$79.95","Pending","","",""
"1954","S","Quarter","Washington Silver Quarter","Unmapped","Very Fine","13.95","Pending","","",""
"1941","","Half Dollar","Walking Liberty Half Dollar","Unmapped","Very Good","$0.00","Pending","","",""
"1972","","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$6.50","Pending","","",""
"2007","P","Quarter","State and Territory Quarters","Utah","Uncirculated","2.5","Pending","","",""
"1984","S","Quarter","Washington Silver Quarter","Unmapped","Ch Proof-63","4.25","$4 – $8","","",""
"2005","P","Quarter","State and Territory Quarters","Oregon","Uncirculated","1.95","$0.50 – $1.50","","",""
"2006","D","Quarter","State and Territory Quarters","Nebraska","Uncirculated","2.5","$0.50 – $1.50","","",""
"1936","","","America Revisited Selection","Time Capsule Year Set","Circulated","$101.00","","","",""
"1958","D","Nickel","Jefferson Nickel Series","Thomas Jefferson","Uncirculated","$1.10","$1.00 – $3.00","","",""
"1834","","Capped Bust Silver Half Dollar","Capped Bust Half Dollar","Capped Bust Liberty","Extremely Fine","$346.00","Pending","","",""
"2003","S","Quarter","State and Territory Quarters","Arkansas","Ch Proof-63","7.5","Pending","","",""
"1982","","Penny","Lincoln Cent","Lincoln Cent (Memorial Reverse, Small Date Zinc)","Uncirculated","$6.50","Pending","","",""
"2021","P","1 Dollar","Native American Dollar","Military Service","Uncirculated","Points","Pending","","",""
"2017","S","Quarter","National Park Quarters","Missouri Ozark National Scenic Riverways","Uncirculated","$1.25","Pending","","",""
"1916","S","Nickel","Buffalo Nickel","Native American & Buffalo","About Good","$10.25","Pending","","",""
"2025","P","Quarter Dollar","American Women Quarters","Dr. Vera Rubin","Uncirculated","$1.00","","","",""
"2019P","","quarter","National Park Quarters","Unmapped","uncirculated","$1.00","","","",""
"1938","S","Dime","Mercury Dime","Winged Liberty Head","Extremely Fine","$24.95","Pending","","",""
"1882","CC","Dollar","USA Invoice Import","Unmapped","","$795.00","","","",""
"1982","P","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","30.95","$3 – $15","","",""
"1900","S","25 Cents","Barber Silver Quarters","Liberty Head","Fine","$80.00","$110 – $150","","",""
"2018","S","Quarter","America the Beautiful Quarters","Block Island National Wildlife Refuge","Uncirculated","$1.25","$1.50 – $3.50","","",""
"1880","CC","1 Dollar","Morgan Silver Dollars","Unmapped","Uncirculated","$825.00","Pending","","",""
"1987","P","Dime","Roosevelt Dimes","Unmapped","Uncirculated","2.00","Pending","","",""
"1844","","Seated Liberty Half Dime","","Stars","Good","$65.00","Pending","","",""
"1912","S","Penny","Lincoln Cent Series","Abraham Lincoln","Extremely Fine","$165.00","Pending","","",""
"1950","D","Dime","Roosevelt Dimes","Unmapped","Uncirculated","28.95","Pending","","",""
"1957","D","Dime","Roosevelt Dimes","Unmapped","Average Circulated","points","Pending","","",""
"1858","O","Half Dollar","Liberty Seated","SS Republic Shipwreck","Ungraded","$425.00","Pending","","",""
"1871","","Dollar","Liberty Seated","Unmapped","EF-45","$1095.00","Pending","","",""
"1944","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","$0.15 – $5.00","","",""
"1943","D","","The World War II U.S. Coin Collection","World War II","","$87.00","","","",""
"2019","P","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$5.00","$1.50 – $3.50","","",""
"1891","O","$1","Morgan Silver Dollar","Unmapped","Uncirculated","1995","Pending","","",""
"1867","","Nickel","Shield Nickel","No Rays","VF-35","$95.00","$45 – $65","","",""
"1940","S","Quarter","Washington Silver Quarter","Unmapped","Very Fine","29.95","$8 – $15","","",""
"1921","S","Dime","Mercury Dime","Mercury (Roman God)","About Good","$9.00","$35 – $55","","",""
"1961","","Dime","Roosevelt Dime","America Revisited Selection","Circulated","$18.30","Pending","","",""
"1943-46","","Penny","Wartime Lincoln Head Cent Set with folder 12 coins","Unmapped","average circ","$16.95","$10 – $20","","",""
"1944","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Genuine","","$0.15 – $1.50","","",""
"1971S","","","Clad  Proof Set 5 coins","Unmapped","ch proog 63","$18.50","$4 – $8","","",""
"2024","","Kennedy Half Dollar & Native American Dollar","USA Invoice Import","Unmapped","Uncirculated","$0.00","","","",""
"1910","","Penny","Lincoln Cent Series","Abraham Lincoln","Very Good","$350.00","$0.25 – $0.75","","",""
"2024","P","Dollar","Modern Commemorative Club Selection","Greatest Generation Commemorative","Choice Proof-63","$208.00","","","",""
"2023","D","Half Dollar","USA Invoice Import","Unmapped","Uncirculated","$0.00","","","",""
"1885","CC","multiple","1880-1885CC 6 piece carson city Morgan dollar set PCGS MS64","Unmapped","","$3528.00","$12,500 – $14,500","","",""
"1909","","Penny","Lincoln Cent","Unmapped","Extra Fine","","$4 – $8","","",""
"1929","D","Penny","Lincoln Cent","Unmapped","Average Circulated","$3.15","$0.75 – $2.50","","",""
"1971","","Penny","Lincoln Cent","Abraham Lincoln","Mint State","$1.40","$0.15 – $2.00","","",""
"2025","S","Quarter","American Women Quarters","Althea Gibson","Proof-63","$10.95","$3 – $7","","",""
"1950","D","Nickel","Jefferson Nickel","Unmapped","Uncirculated","19.95","$12 – $25","","",""
"1892","S","$1","Morgan Dollar","Unmapped","BU","3995","$150,000 – $350,000","","",""
"1992","S","Quarter","Washington Quarter","Unmapped","Proof-63","29.95","$3 – $10","","",""
"1948","","Dime","Roosevelt Dimes","Unmapped","Uncirculated","27.95","Pending","","",""
"1897","","1 Dollar","Morgan Silver Dollars","Unmapped","About Uncirculated","$90.00","$45 – $60","","",""
"1945","D","Penny","Lincoln Head Penny","Unmapped","Uncirculated","$11.00","$2 – $5","","",""
"2024","","$1","Celebrating America Coin Collection","Celia Cruz","Ungraded","$17.95","$1 – $3","","",""
"1998","P","Dollar","American Eagle","Unmapped","Proof-63","$129.00","Pending","","",""
"2024","P","Dollar","American Innovation Dollars","Missouri / George Washington Carver","Uncirculated","$0.00","","","",""
"1957","","","America Revisited Selection","5-Coin Time Capsule Year Set","Circulated","$109.00","","","",""
"1982","S","Half Dollar","USA Invoice Import","Kennedy","Ch Proof-63","$26.10","","","",""
"1860","S","Half Dollar","Liberty Seated","No Motto","Very Fine","$275.00","$1,100 – $1,600","","",""
"1993","","Jefferson Nickel","The U.S. Nickel Collection","Jefferson Nickel","Ungraded","$7.95","$0.05 – $1.50","","",""
"1958","D","Dime","Roosevelt Dimes","Silver","Average Circulated","Points","Pending","","",""
"1984","S","Dime","Roosevelt Dimes","Unmapped","Proof-63","4.50","$1.50 – $4.00","","",""
"1897","","Half Dollar","Barber","Liberty Head","Ungraded","$60.00","$15 – $450","","",""
"1993","D","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","3.50","$1 – $3","","",""
"1873","","Half Dollar","Liberty Seated","With Arrows","Average Circulated","$108.00","$65 – $125","","",""
"1890","CC","$1","Morgan Silver Dollar","Unmapped","Ungraded","1495.0","$150 – $1,500","","",""
"2012","P","$1","Presidential $1 Coin Program","Grover Cleveland (First Term)","Uncirculated","3.50","$2.00 – $4.00","","",""
"1819","","Half Dollar","Half Dollar Club Selection","Capped Bust","Extremely Fine Details","$495.00","","","",""
"1995","P","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","4.25","$1 – $3","","",""
"2024","P","Dollar","USA Invoice Import","Indian Citizenship Act 1924","Uncirculated","$0.00","","","",""
"2000","S","Quarter","State and Territory Quarters","New Hampshire Commemorative","Proof-63","19.25","$4 – $12","","",""
"1981","S","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Proof-63 Cameo","$7.50","$3 – $7","","",""
"1929","","Penny","Lincoln Head Cent","Lincoln Head","Average Circulated","$2.25","Pending","","",""
"2014","S","Quarter","National Park Quarters","Tennessee Great Smoky Mountains National Park","Uncirculated","$2.85","$1.50 – $3.50","","",""
"1908","S","Half Dollar","Barber","Liberty Head","Circulated","$47.75","$120 – $450","","",""
"2013S","","","Clad Proof Set 14 coins","Unmapped","ch proof 63","$90.95","Pending","","",""
"2005","P","Quarter","State and Territory Quarters","California","Uncirculated","2.5","$0.50 – $1.50","","",""
"2022","D","Mint Set","U.S. Uncirculated Coin Mint Sets","Denver Mint Panel","Uncirculated","$39.95","","","",""
"1864","","Seated Liberty Half Dollar","","John F. Kennedy","Proof-63 Cameo","$42.95","Pending","","",""
"1979","D","Susan B. Anthony Dollar","Susan B. Anthony Dollar","Susan B. Anthony","Uncirculated","$7.50","$1.50 – $3.00","","",""
"2009","S","Quarter","State and Territory Quarters","Guam Territory Commemorative","Proof-63","23.5","Pending","","",""
"1910-2005","","Five Cents","The U.S. Nickel Collection","Shipment 10","","$31.80","","","",""
"1873","","Half Dollar","Liberty Seated","With Motto, Closed 3","Very Fine","$300.00","Pending","","",""
"2008","D","$1","Presidential $1 Coin Program","Andrew Jackson","Uncirculated","5.50","Pending","","",""
"1898","","Half Dollar","Barber","Liberty Head","Ungraded","$42.50","Pending","","",""
"2016","P","Quarter","National Park Quarters","Harpers Ferry National Historical Park","Mint State","$2.25","Pending","","",""
"1923","","Dollar","Peace Dollar","Unmapped","Uncirculated","$96.75","Pending","","",""
"1990","P","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","2.25","Pending","","",""
"2015S","","","Clad Proof Set 14 coins","Unmapped","ch proof 63","$92.50","","","",""
"2020","D","Quarter","National Park Quarters","Salt River Bay National Historical Park and Ecological Preserve","Mint State","$1.00","Pending","","",""
"2024","","Dollar","Statehood Innovation Dollar Coin Collection","Texas","","$17.95","","","",""
"2023","D","Mint Set","U.S. Uncirculated Coin Mint Sets","Denver Mint Panel","Uncirculated","$39.95","","","",""
"1943","D","Dime","USA Invoice Import","Unmapped","Average Circulated","$14.60","","","",""
"2018","","Dollar","America the Beautiful Quarters","Unmapped","Uncirculated","$0.00","Pending","","",""
"1975","","Penny","Lincoln Cent","Abraham Lincoln","Mint State","$0.50","$0.15 – $3.00","","",""
"2005","P","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$5.25","$1.50 – $3.50","","",""
"1979","D","Penny","Lincoln Cent","Lincoln Memorial Reverse","Uncirculated","$1.00","$0.10 - $0.75","","",""
"2021","P","Quarter","National Park Quarters","Tuskegee Airmen National Historic Site","Uncirculated","$1.00","$0.50 – $1.50","","",""
"1912","","Nickel","Liberty Head Nickel","Liberty Head","Very Good","$10.50","$2.00 – $4.00","","",""
"2022","","Dollar","American Eagle","Unmapped","Uncirculated","$39.95","$35 – $45","","",""
"1907","D","Half Dollar","Barber","Liberty Head","Circulated","$47.75","$20 – $150","","",""
"1955","","Quarter","Washington Silver Quarter","Unmapped","Extremely Fine","21.50","$7 – $10","","",""
"1968","D","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$19.75","Pending","","",""
"1898","O","25 Cents","Barber Silver Quarters","Liberty Head","Good","$48.00","Pending","","",""
"2013","D","Dime","America the Beautiful Quarters","Unmapped","Uncirculated","2.00","$0.15 – $1.00","","",""
"1936","S","Nickel","","Buffalo / Native American","Average Circ","$6.25","$1.50 – $3.50","","",""
"1985","S","Dime","Roosevelt Dimes","Unmapped","Proof-63","3.75","$2 – $5","","",""
"1998","","Dollar","American Eagle","Unmapped","Uncirculated","$72.95","$40 – $55","","",""
"1939","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","$0.15 – $15.00","","",""
"1951","","Dime","Roosevelt Dimes","Unmapped","Uncirculated","25.95","$3 – $8","","",""
"1933","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","$0.15 – $15.00","","",""
"1930","S","Penny","Lincoln Head Penny","Unmapped","Average Circulated","","$0.15 – $0.75","","",""
"1922","","Penny","Lincoln Cent Series","Abraham Lincoln","Fine-15","$1350.00","$15 – $25","","",""
"2013","P","Dime","America the Beautiful Quarters","Unmapped","Uncirculated","2.00","$0.15 – $1.00","","",""
"2015","S","Quarter","America the Beautiful Quarters","New York Saratoga Historical Park","Proof-63","$6.95","$2 – $5","","",""
"1999","","Five Cents","The U.S. Nickel Collection","Unmapped","","$7.95","","","",""
"2007","P","Quarter","State and Territory Quarters","Montana","Uncirculated","2.5","$0.50 – $1.50","","",""
"2014","S","$1","Presidential $1 Coin Program","Franklin D. Roosevelt","Proof-63","10.50","$3 – $7","","",""
"1918","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Genuine","","$0.15 – $1.50","","",""
"2013","D","$1","Presidential $1 Coin Program","William Howard Taft","Uncirculated","2.95","$2.00 – $4.00","","",""
"","","","100 coins from ioo countries with treasure chest","Unmapped","uncirculated","$49.95","$5 – $15","","",""
"1912-1992","","Five Cents","The U.S. Nickel Collection","Shipment 12","","$31.80","","","",""
"1952","","Half Dollar","Franklin Half Dollar","Benjamin Franklin","About Uncirculated 50","$45.95","$12 – $16","","",""
"1956","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","$0.05 – $5.00","","",""
"1871","S","Nickel","","Unmapped","Extra Fine","$67.50","$1,100 – $1,500","","",""
"2022","D","Quarter","American Women Quarters","Maya Angelou","Uncirculated","$1.00","$0.50 – $1.50","","",""
"1934","","$1 Silver Certificate","Silver Certificate","Funnyback","Fine","$233.00","","","",""
"1977","S","Penny","Lincoln Cent","Lincoln Head","Proof 63 (PR63)","$3.15","Pending","","",""
