year,mint,series,name,denom,est_value,index_key,coin_id
1886,O,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,7bf76e05-f1d3-4375-9950-d1c1cb9493d9
2023,D,,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,7bfcaae5-1bdb-4c59-9b8b-80a064a815cc
2022S,,Roosevelt Dimes,Dime,Dime,Pending,,7c032125-ce15-45d0-b993-7d282dea0501
1931,D,Lincoln Cent Series,Penny,Penny,Pending,,7c12a80f-3feb-4c05-8e23-838b135790be
2021,P,Native American Dollar Program,Native American Dollar,Native American Dollar,Pending,,7c19042b-edd8-4e7f-8586-583792a66077
1873,,Liberty Seated,Quarter,Quarter,Pending,,7c1b7896-e51d-4603-bed2-aa88db836932
1819,,,Capped Bust Silver Quarter,Capped Bust Silver Quarter,Pending,,7c2588e1-0c96-49fe-a41d-8a63ff2b7ea2
1962,,Lincoln Head Penny,Penny,Penny,Pending,,7c26c4f0-139a-4f02-946a-b8546a38ee32
1976,D,Lincoln Head Penny,Penny,Penny,Pending,,7c2e6f9f-fb1b-4298-8ecc-7d2c9c65fff7
1910,S,Barber,Half Dollar,Half Dollar,Pending,,7c3ec723-231e-41a3-aa74-2498edd3ab8a
1897,,Indian Head Cent,Penny,Penny,Pending,,7c55bbbc-56b3-466f-be78-c7169272c46f
1953,S,Lincoln Head Cent,Penny,Penny,Pending,,7c59933c-0a67-499c-a914-2e8300f9f076
1968,D,Lincoln Head Penny,Penny,Penny,Pending,,7c7500f8-cd75-4af0-8189-7532d706bc29
1969,,Washington Silver Quarter,Quarter,Quarter,Pending,,7c974d6d-a807-46f8-9439-7bf6b29389ef
1921,"P, D, S",Morgan Silver Dollar SET,1,1,Pending,,7c9c1f09-38f4-4ee7-a2f6-63bfdbf428d6
2001S,,State and Territory Quarters,Quarter,Quarter,Pending,,7cd81466-b095-4087-8011-18fa2d6edc10
1938,,,Capped Bust Silver Quarter,Capped Bust Silver Quarter,Pending,,7cfa382c-a94a-4ce3-a5e9-9649722470eb
2022,S,US Women's Quarters,Quarter,Quarter,Pending,,7cfcae05-29a8-47f7-9565-82833fb5507a
1861,O,Liberty Seated,Half Dollar,Half Dollar,Pending,,7d1baae4-72c6-4cc1-b366-0c22c67a3b8a
1915,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,7d235c45-de40-4782-9848-2d1c5f338d16
1880,S,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,7d53f8c1-1ce5-43a8-84dc-9d5eab05a354
2004S,,Roosevelt Dimes,Dime,Dime,Pending,,7d5cd3a4-6fd7-4670-831e-2779c5f0d260
1853,,Braided Hair Large Cents,Large Cent,Large Cent,Pending,,7d601036-13fd-4f78-9630-663bec99476d
2015,S,America the Beautiful Quarters,Quarter,Quarter,Pending,,7d6fc15c-33c0-4bcd-9340-b5746fdd3e92
2018,S,National Park Quarters,Quarter,Quarter,Pending,,7d935c8a-a714-42bc-b7d2-503eda9959d2
1980S,,Washington Silver Quarter,Quarter,Quarter,Pending,,7dac9049-51ce-41a4-a197-14df4558e197
1890,,,1890,,Pending,,7dcba4e6-d9d5-4698-a630-9c0adf868090
1923,S,Peace Dollar,Dollar,Dollar,Pending,,7dd3c3c8-51c3-4d27-a8b9-3beeaaec122c
1952,,Franklin Half Dollar,Half Dollar,Half Dollar,Pending,,7df3d6d4-f32e-41b7-a195-c10c1f9a387b
2022,S,US Women's Quarters,Quarter,Quarter,Pending,,7e01c418-e313-4649-b95d-7fad753d2a10
1928,,Peace Dollar,Dollar,Dollar,Pending,,7e0f89fc-5063-4cc7-96d6-393679d3e6ca
1849,,Liberty Seated,Liberty Seated Dime,Liberty Seated Dime,Pending,,7e1aaeaf-5bee-4dc1-b2c0-608126b2caf8
,,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,7e3201e1-2cce-4f5f-bdb0-3c2c62bea6e0
1828,,Capped Bust Half Dollar,Capped Bust Silver Half Dollar,Capped Bust Silver Half Dollar,Pending,,7e47b848-9f14-47ca-9481-3e4b68ee7e32
2005S,,State and Territory Quarters,Quarter,Quarter,Pending,,7e5ea9bf-3432-4bbd-9639-a0fec43d4cc8
1876,,Liberty Seated,Half Dollar,Half Dollar,Pending,,7e605f9f-a34b-4093-b4aa-946049fb20a4
1941,S,Liberty Walking Half Dollar,Half Dollar,Half Dollar,Pending,,7e68a72e-422f-4888-902b-0f5f8f207c8c
1918,S,Standing Liberty Silver Quarter,Quarter,Quarter,Pending,,7e79125e-3f46-4ba1-9e08-7c0c90d64afc
1954S,,Washington Silver Quarter,Quarter,Quarter,Pending,,7e8918fe-d3f9-4d4f-95f3-750686db5df6
1941,,Walking Liberty,Half Dollar,Half Dollar,Pending,,7e892094-0a45-4ce4-9a45-46a37650a7ef
1972,,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,7e8eec0c-c520-4c64-ba80-735ad8925cbe
2007P,,State and Territory Quarters,Quarter,Quarter,Pending,,7e8f00a5-31bc-43f3-99f6-19a10d6e90c4
1985,S,,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,7ec1da1c-1e7c-468f-88d8-1745d86539fd
1984S,,Washington Silver Quarter,Quarter,Quarter,Pending,,7ed45afd-3031-4ab9-abc3-c59440e656a0
2005P,,State and Territory Quarters,Quarter,Quarter,Pending,,7ee77a6c-eac0-4ebb-ba0d-ddad5bb82efb
2006D,,State and Territory Quarters,Quarter,Quarter,Pending,,7ef6657a-c919-4291-bb56-844d74f22379
1958,D,Jefferson Nickel Series,Nickel,Nickel,Pending,,7f37fd68-1b4d-4047-8e45-00d17e804400
1834,,Capped Bust Half Dollar,Capped Bust Silver Half Dollar,Capped Bust Silver Half Dollar,Pending,,7f4087dc-d648-4b87-ba72-98102a055c1a
2003S,,State and Territory Quarters,Quarter,Quarter,Pending,,7f47de8b-3112-4c8b-bc4a-ba8820b049b6
1982,,Lincoln Cent,Penny,Penny,Pending,,7f541bae-352f-4b2d-97ea-f743e7b0ac2f
2021,P,Native American Dollar,1 Dollar,1 Dollar,Pending,,7f5843d6-b138-4876-9a96-4c75901fcf0f
2017,S,National Park Quarters,Quarter,Quarter,Pending,,7f605e9c-aadf-4231-9520-a936c69eff26
1916,S,Buffalo Nickel,Nickel,Nickel,Pending,,7f692f4e-df44-4606-aa6a-c506c8e2c366
1938,S,Mercury Dime,Dime,Dime,Pending,,7fa7fa50-86ef-4b96-a1bf-8806ce7d41f4
1982P,,Washington Silver Quarter,Quarter,Quarter,Pending,,7fac21d0-3237-4a7b-b857-df3f6d2e9df5
1900,S,Barber Silver Quarters,25 Cents,25 Cents,Pending,,7fb235fc-f12c-4ae4-9eb7-cf0463522972
2018,S,America the Beautiful Quarters,Quarter,Quarter,Pending,,7fc296aa-efce-46dc-bd9d-7d6478154865
1880,CC,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,7fc3baa5-8614-4c57-875c-9a70b12b0b08
1987P,,Roosevelt Dimes,Dime,Dime,Pending,,7fceb27a-12bb-4a61-9494-d3583bfd7ce0
1844,,,Nickel,Nickel,Pending,,7feb8138-db21-4a93-bb5f-102af2041116
1912,S,Lincoln Cent Series,Penny,Penny,Pending,,7ff32472-3d26-4d63-b4e5-ba6936eca046
1950D,,Roosevelt Dimes,Dime,Dime,Pending,,80012908-c72f-48cd-aa39-3ea8d2cda633
1957D,,Roosevelt Dimes,Dime,Dime,Pending,,800d58fc-2b63-4b4a-8001-f2c333431121
1858,O,Liberty Seated,Half Dollar,Half Dollar,Pending,,800fc0e2-6cd4-44d0-bd66-1e7489b8c8af
1871,,Liberty Seated,Dollar,Dollar,Pending,,804a5642-ceb6-42a5-aa64-6ac10ff7f6b2
1944,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,804f735a-cff7-4645-a7ff-1d7d7603dd96
1891,O,Morgan Silver Dollar,1,1,Pending,,808129d6-88fa-401d-964e-fcc4460b5c64
1867,,Shield Nickel,Nickel,Nickel,Pending,,80824dc7-3f21-4f7d-b67c-3accc59e7ca0
1940S,,Washington Silver Quarter,Quarter,Quarter,Pending,,808322e1-7925-49d2-819b-22e56873d1ad
1921,S,Mercury Dime,Dime,Dime,Pending,,80945548-0fc9-4e4d-bf01-432b278043db
1944,,Lincoln Wheat Cent,Penny,Penny,Pending,,80afb77c-1ad0-4e7e-8fa0-252cdb34d348
1910,,Lincoln Cent Series,Penny,Penny,Pending,,80c5e8f2-3e1f-4b93-bf4c-2f0b5242f762
1929,D,Lincoln Cent,Penny,Penny,Pending,,81381fdd-5e46-4f4d-80ce-5ee66777d1a1
1971,,Lincoln Cent,Penny,Penny,Pending,,814aac19-c62c-4f61-b3dd-77b5e1552d0a
1950,D,Jefferson Nickel,Nickel,Nickel,Pending,,8164bb15-1659-4600-8931-b0a7600a194f
1892,S,Morgan Silver Dollar,1,1,Pending,,816a08ed-38bb-4343-a6d4-212fd013636c
1992S,,Washington Silver Quarter,Quarter,Quarter,Pending,,81938e64-f2bd-435a-a08d-2ed737b37d21
1948,,Roosevelt Dimes,Dime,Dime,Pending,,81989767-3e7f-4fab-873f-a50625c1d676
1897,,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,81b803e4-0c46-4dc2-a4d6-cdaa86e8c304
1945,D,Lincoln Head Penny,Penny,Penny,Pending,,81c3e4fc-24b1-43e5-9718-b42458582f03
2016,S,America the Beautiful Quarters,Quarter,Quarter,Pending,,81cb783b-8507-4348-a46f-1b45dee82344
,,Celebrating America Coin Collection,$1 ,$1 ,Pending,,81d0ccc0-0ebd-44e7-a644-7ff7ce9cc5f7
1998,P,American Eagle,Dollar,Dollar,Pending,,81dbdf5a-3b99-4de2-b13c-a5c7ba7a63e1
1860,S,Liberty Seated,Half Dollar,Half Dollar,Pending,,81f13e5e-09b8-47dd-95e2-e6e09703550b
1993,,THE U.S. NICKEL COLLECTION,Jefferson Nickel,Jefferson Nickel,Pending,,82029499-43ba-418e-a754-dc7abed17068
1958D,,Roosevelt Dimes,Dime,Dime,Pending,,8206f342-b76d-49ca-a76b-6edaa9f7de7d
1984S,,Roosevelt Dimes,Dime,Dime,Pending,,820f35c4-b044-4dcd-b85f-1d71ef26e1b6
2023,D,Native American Dollar Program,Native American Dollar,Native American Dollar,Pending,,822333d1-4bf1-4233-bdd3-1b8490521d04
1897,,Barber,Half Dollar,Half Dollar,Pending,,82291265-c7d1-4faa-b46c-647013e4ec92
1993D,,Washington Silver Quarter,Quarter,Quarter,Pending,,822d7a1f-2e85-48a7-8a52-df6173ad4490
1890,CC,Morgan Silver Dollar,1,1,Pending,,82336621-6792-42bb-ae9b-80b05ac4f67a
2012P,,Presidential Dollars,1,1,Pending,,825eea7f-df79-4c6d-8ffd-7a3b92ab6e75
1995P,,Washington Silver Quarter,Quarter,Quarter,Pending,,82681393-24c5-4946-8e1e-aa89e2f9f3b0
2000S,,State and Territory Quarters,Quarter,Quarter,Pending,,82a34a66-7299-493b-876f-6d6a7ac4dcef
1981,S,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,82a6e994-aad4-4139-9a29-c77f9ad0e3a5
1929,,Lincoln Head Cent,Penny,Penny,Pending,,82cda57f-e829-4308-8445-761c1ca386c5
2015,S,Roosevelt Dime,Roosevelt Dime,Roosevelt Dime,Pending,,82cfedc8-b18e-470c-b8ca-d3cb4223a45f
2014,S,National Park Quarters,Quarter,Quarter,Pending,,82f02552-eae8-413a-9a78-e853cc06c64e
1908,S,Barber,Half Dollar,Half Dollar,Pending,,82faa73b-2eaf-4614-b4f8-a5f60f78fb01
2005P,,State and Territory Quarters,Quarter,Quarter,Pending,,8321704e-e17a-42ca-a876-229bd12fea87
1864,,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,83368242-b01f-48ca-a15f-39f9d7000615
1979,D,Susan B. Anthony Dollar,Susan B. Anthony Dollar,Susan B. Anthony Dollar,Pending,,8339f1f8-fc15-4ad0-97e8-d350cf9a2585
2009S,,State and Territory Quarters,Quarter,Quarter,Pending,,8343b59c-b46b-4a38-970d-9bdc8a97e177
2008D,,Presidential Dollars,1,1,Pending,,836f4b2e-22c1-40da-bf5b-f816c945219b
1898,,Barber,Half Dollar,Half Dollar,Pending,,83762b9f-2d30-4499-88ea-6670fcd9ce64
2016,P,National Park Quarters,Quarter,Quarter,Pending,,838a1d38-32d0-40c4-b40e-5f9fadc1c9b9
1923,,Peace Dollar,Dollar,Dollar,Pending,,839b599a-3489-40cf-b09e-d5c109fbfd09
1990P,,Washington Silver Quarter,Quarter,Quarter,Pending,,83a1b1e3-f3cd-440f-9967-012d07b0ea9a
2020,D,National Park Quarters,Quarter,Quarter,Pending,,83bb5e3e-f797-409e-83c7-eda7edef076b
2018,,American Silver Eagle,Dollar,Dollar,Pending,,83ed4f1b-0345-44d0-a506-e1575885f786
1975,,Lincoln Cent,Penny,Penny,Pending,,840db3e6-8d2d-4465-8cbd-242039cca952
2021,P,National Park Quarters,Quarter,Quarter,Pending,,84438bd6-9fe8-4ac5-91d2-f31b6dd4f000
1955,,Washington Silver Quarter,Quarter,Quarter,Pending,,846e494a-044d-4ded-8837-67ea07081741
1968,D,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,84746f1e-b5aa-4ef9-8cf3-98da4338a72c
1898,O,Barber Silver Quarters,25 Cents,25 Cents,Pending,,847e851d-c967-4f97-9d5f-aeb57ab9ba86
2013D,,Roosevelt Dimes,Dime,Dime,Pending,,849cc403-098c-4d1c-9d5e-9088a572df8d
1936,S,,Nickel,Nickel,Pending,,84a369ce-0147-45a1-9e33-25ec1cad4154
1935,,America Revisited Selection Year Set,5-Coin Year Set,5-Coin Year Set,Pending,,84af62f7-8d73-49f1-a527-da0b71edc323
1985S,,Roosevelt Dimes,Dime,Dime,Pending,,84afb046-17d2-499b-9976-30a6510f4453
1998,,American Eagle,Dollar,Dollar,Pending,,84b09ca9-8486-4cb6-a9ab-54c6219ebc92
1939,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,84cbc40e-918a-4ab5-88f2-14e3576be0f7
1951,,Roosevelt Dimes,Dime,Dime,Pending,,84d91094-6d18-415a-9238-30b157cf9e2d
1933,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,852f860d-5fae-4400-9334-e7ea33c493c4
1930,S,Lincoln Head Penny,Penny,Penny,Pending,,85345ce7-9290-46a5-ba18-8011efd6f9ca
1922,,Lincoln Cent Series,Penny,Penny,Pending,,85417a58-af75-4c3f-b5aa-fc9f00f87fbd
2013P,,Roosevelt Dimes,Dime,Dime,Pending,,8541c68c-b64e-48a1-b462-a1784c5962aa
2015,S,America the Beautiful Quarters,Quarter,Quarter,Pending,,8549ee58-98d9-4056-9676-221ae6dc0909
2007P,,State and Territory Quarters,Quarter,Quarter,Pending,,855dc451-6052-4c78-965f-a56a515422d9
2014S,,Presidential Dollars,1,1,Pending,,855efbcc-9c5e-4ac4-a4fd-a44f78125713
1918,,Lincoln Wheat Cent,Penny,Penny,Pending,,85879512-c371-4a84-8349-76611f4dc35f
2013D,,Presidential Dollars,1,1,Pending,,85a5f5a4-cd80-435b-993a-28e7f2fa2104
1952,,Franklin Half Dollar,Half Dollar,Half Dollar,Pending,,85dba95a-ddf4-4894-8ca0-e00016b78837
1956,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,85e6da23-c2b2-44a4-aa6b-64ff60cd628d
1871,S,,Nickel,Nickel,Pending,,85f78bda-54aa-472c-a2d2-38316a15e9ec
2022,D,US Women's Quarters,Quarter,Quarter,Pending,,860d27c3-1f28-4535-9a27-a65fd351b1d3
1977,S,Lincoln Cent,Penny,Penny,Pending,,865086b4-4256-45dd-9892-0c5f9d4f9467
1979,S,Susan B. Anthony Dollar,Susan B. Anthony Dollar,Susan B. Anthony Dollar,Pending,,8658c60b-10f1-40d3-920c-c78650e11824
1924,D,Lincoln Head Penny,Penny,Penny,Pending,,8675e909-9198-42b7-8974-6769222ca205
1971,,Eisenhower Dollar,1 Dollar,1 Dollar,Pending,,867a2a10-9033-4dec-842b-b296d37b47c9
2004P,,State and Territory Quarters,Quarter,Quarter,Pending,,868e2d8f-8f5e-4bb1-acce-4df09d010777
1912,,Barber,Half Dollar,Half Dollar,Pending,,86b30372-b48b-4c29-8208-05278e947566
1964,,Washington Silver Quarter,Quarter,Quarter,Pending,,86bb7614-ed2d-4bc4-b143-67b80b437eaa
2017,P,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,86bcbcd7-9e5f-4192-a1be-927e87172bb9
1870,,,1870,,Pending,,86f24f51-1fec-4171-8292-25028cc2f274
1874,,Liberty Seated,Half Dollar,Half Dollar,Pending,,86f3e682-fbd6-40cc-aeea-0c1da9ea7fe5
1908,,Barber,Half Dollar,Half Dollar,Pending,,871c1e37-b04f-4fd2-9c3f-65a8947f3216
2023,S,US Women's Quarters,Quarter,Quarter,Pending,,87442bdb-a7fa-4837-9b81-b6f694dc9f36
1904,PENDING,Barber Series,Dime,Dime,Pending,,87565c01-8bea-4213-b6f7-6967ca8a4542
2007D,,Presidential Dollars,1,1,Pending,,8765c7ab-0935-4fb4-8891-0a671f86e483
1834,,Matron Head Large Cent,Penny,Penny,Pending,,87686aed-a36f-4bfd-acc3-0985fb2e6e8e
1914,S,Lincoln Cent,Penny,Penny,Pending,,87a2b5ce-9ce9-46bd-a995-630886f3423f
1850,O,Liberty Seated,Quarter,Quarter,Pending,,87be5652-2ce3-4ef8-84e6-39dc3895434b
2011,P,National Park Quarters,Quarter,Quarter,Pending,,87db164a-fd07-4f57-8ad9-3b233d58b9d9
2008D,,State and Territory Quarters,Quarter,Quarter,Pending,,87ff47be-ac5b-4da8-b982-5e3bb2c0a7bf
1929,,Mercury Dime,Dime,Dime,Pending,,8803df12-a4ca-4fc0-807a-bb1b0ad47a75
1884,S,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,880e0233-4c44-41ab-8acf-bbe373bd2543
1958,P,Jefferson Nickel Series,Nickel,Nickel,Pending,,881fe2d5-555c-4129-8936-3365cb4e7161
1951D,,Washington Silver Quarter,Quarter,Quarter,Pending,,88230d4f-a74c-40c1-9874-0b78bfa56bec
1875,,20 Cent Piece,20 Cents,20 Cents,Pending,,8824e03f-b4a6-4fb3-a91f-149c33747066
2008P,,State and Territory Quarters,Quarter,Quarter,Pending,,882aa9b9-88cf-47d4-8806-4317a551e028
1961,,Time Capsule Year Set,5-Coin Set,5-Coin Set,Pending,,882bd16b-8e35-4317-b0ac-9ac3e183cb3f
1953,,Roosevelt Dimes,Dime,Dime,Pending,,88344017-c110-4b6c-aef4-d281e39a2f63
2007D,,State and Territory Quarters,Quarter,Quarter,Pending,,885deefb-6a87-47fd-95cb-9644efbce51d
1897,S,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,8868b09d-f007-4bf6-8904-ec74c87c5285
1930,S,Standing Liberty Silver Quarter,Quarter,Quarter,Pending,,886f5d4e-d76e-4123-bbd4-123e3c6bea75
1947,,Lincoln Cent Series,Penny,Penny,Pending,,88898c7f-7a35-4e15-89d0-86a3c802902d
1980,D,Susan B. Anthony Dollar,Susan B. Anthony Dollar,Susan B. Anthony Dollar,Pending,,889d4c19-0bfb-40ab-a007-4ba51ae818e0
2012S,,Roosevelt Dimes,Dime,Dime,Pending,,88ba6664-0aa8-40d2-9da7-e73cfbd77710
1896,,,Indian Head Cent,Indian Head Cent,Pending,,8906b37f-86b5-448e-ac4c-ec4b2a145eb3
1931,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,890ba436-17c0-4874-a7f6-5aadb38544b6
2017,D,National Park Quarters,Quarter,Quarter,Pending,,8915077f-d790-4f63-a391-6c3ad2d8e135
1961,D,Lincoln Cent,Penny,Penny,Pending,,8919b3f3-0a60-4726-878f-6feab1c1bc7c
1963D,,Roosevelt Dimes,Dime,Dime,Pending,,89291a0d-f965-4fe1-adf5-7b2e3bebc770
1918,S,Mercury Dime,Dime,Dime,Pending,,89615287-d442-4c3f-b08a-550c5b75d732
2013S,,Presidential Dollars,1,1,Pending,,898c6feb-1f5d-45e4-a071-480c554d5db4
2018,S,Roosevelt Dime,Roosevelt Dime,Roosevelt Dime,Pending,,899342ab-72dc-411d-b771-b82932549d32
1945,S,Mercury Dime,Dime,Dime,Pending,,89aa9d81-dc8c-412d-ad72-4796139be686
1878,S,Trade Dollar,1 Dollar,1 Dollar,Pending,,89ab0ccc-52b8-444c-af30-3100aa9f4775
1981,D,Lincoln Cent,Penny,Penny,Pending,,89b11375-49ea-4e52-9434-2ab5149a948e
2019,P,National Park Quarters,Quarter,Quarter,Pending,,89b41513-ccc0-4cb6-9b3d-cfa991e630d7
1917,S,Liberty Walking Half Dollar,Half Dollar,Half Dollar,Pending,,89bb1bed-e106-422d-993b-c29352d5d2ad
2008D,,State and Territory Quarters,Quarter,Quarter,Pending,,89f39900-bb5f-4144-b67a-6446ce5e4340
2008,S,Sacagawea Dollar,1 Dollar,1 Dollar,Pending,,89f4fe88-8758-4102-a7c4-59d1d7d7c234
2001P,,State and Territory Quarters,Quarter,Quarter,Pending,,8a0382ba-baad-41f3-91f6-b6e52001fbb2
1931,,Lincoln Head Penny,Penny,Penny,Pending,,8a079c08-5237-414c-8c54-e89daf566a98
1979,S,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,8a0f2072-915f-4ba2-b221-d9291d3c2708
2017,D,Native American Dollar,1 Dollar,1 Dollar,Pending,,8a16b0e2-e14d-438e-82d2-08fb65178d80
1886,P,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,8a17be1a-42c9-4af2-b975-97939cf179b8
2004S,,State and Territory Quarters,Quarter,Quarter,Pending,,8a1fee53-5b3d-4dc9-8e51-a88b1bc00d67
1976,S,U.S. Bicentennial,1 Dollar,1 Dollar,Pending,,8a3ff0c2-117c-42ca-aa77-1753a9aacc39
1911,D,Barber Dimes,Barber Silver Dimes,Barber Silver Dimes,Pending,,8a42c290-5d18-44b1-8581-64faaa2de24b
1961,,Washington Silver Quarter,Quarter,Quarter,Pending,,8a5ef67c-e09b-4ac1-bfd2-79fc3cb78658
1935,D,Mercury Dime,Dime,Dime,Pending,,8a640b07-1aca-435e-9fad-1eb1eb1c5548
1923,S,Standing Liberty Silver Quarter,Quarter,Quarter,Pending,,8a712666-bdc9-4875-b7e8-d899e6b9baa8
,,Morgan Silver Dollar,1,1,Pending,,8a794fa5-23dd-48d7-af6e-a8f53a369d8f
2010,D,America the Beautiful Quarters,Quarter,Quarter,Pending,,8a85fa34-b3f5-487a-a1b0-53685641a475
2002S,,State and Territory Quarters,Quarter,Quarter,Pending,,8aa85b23-af94-4d18-a11d-523bbceb6632
2011,S,National Park Quarters,Quarter,Quarter,Pending,,8ad7a4fe-be78-40d8-9e92-f45c2db951a7
2007S,,Presidential Dollars,1,1,Pending,,8b09ae4a-fba7-4eac-a769-49c5eded2fb1
1980S,,Roosevelt Dimes,Dime,Dime,Pending,,8b0de6b0-1b6f-4e1d-bba8-80befbedb65d
1945,S,Jefferson Nickel Series,Nickel,Nickel,Pending,,8b0fc299-0891-407d-badb-1d309c76f9cd
1958,D,Franklin Half Dollar,Half Dollar,Half Dollar,Pending,,8b620e02-b696-4dd6-83ac-d3b173c0ff34
2024,D,Native American Dollar,Native American Dollar,Native American Dollar,Pending,,8b6a28d4-25f0-46aa-a583-4ede7f29a81b
1889,,Liberty Seated,Quarter,Quarter,Pending,,8b728515-ca5f-4e88-96a7-baafb5218799
2022,S,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,8b866de1-e1cf-4032-98ff-7f6bdca353de
2006D,,State and Territory Quarters,Quarter,Quarter,Pending,,8bac6371-b3f3-4ed0-bedd-c1aabe5c340b
1912,PENDING,Barber Series,Dime,Dime,Pending,,8bb54867-4a88-4699-a280-21082917a3cd
1955D,,Roosevelt Dimes,Dime,Dime,Pending,,8bca7154-ea69-4c43-ae6f-29f2e87678bc
1942,S,The World War II U.S. Coin Collection,Washington Quarter,Washington Quarter,Pending,,8be6d1b3-d519-48db-a597-373f70923e9b
2004P,,Roosevelt Dimes,Dime,Dime,Pending,,8bf9f053-ad9e-42ae-bc33-a4439b067068
1925,,Mercury Dime,Dime,Dime,Pending,,8c22c4b7-4d43-43f6-920b-75bca5cdee2e
1959,D,Jefferson Nickel Series,Nickel,Nickel,Pending,,8c29283b-384b-4feb-9218-043e080e5a1d
1982,S,Lincoln Cent,Penny,Penny,Pending,,8c2b1193-c819-483c-94b4-b17683ecce17
2003S,,State and Territory Quarters,Quarter,Quarter,Pending,,8c356ed7-7886-49f5-a83e-e56838b9ac94
1912,,Lincoln Cent,Penny,Penny,Pending,,8c362401-532c-4c99-abbf-cf8913360ebb
2011,S,National Park Quarters,Quarter,Quarter,Pending,,8c3e0b43-24b3-4a73-9081-341db8994433
1952,D,Lincoln Cent,Penny,Penny,Pending,,8c3eb392-1cdd-4b8e-9f2e-1d206e29eebf
2007P,,Presidential Dollars,1,1,Pending,,8c487f77-a62b-4e48-93e1-9f383c5d9c00
1928,S,Peace Dollar,Dollar,Dollar,Pending,,8c52168e-eee9-4356-94ad-3a2c3170db61
2011,D,National Park Quarters,Quarter,Quarter,Pending,,8c73ae8c-657f-4b31-874f-7c3126a9dbad
1991D,,Roosevelt Dimes,Dime,Dime,Pending,,8c7d3dd0-6704-4815-8b8c-0375f0e680e6
2001S,,State and Territory Quarters,Quarter,Quarter,Pending,,8c7decfd-286f-493d-98f3-df5ef18993a0
1891,O,Morgan Silver Dollar,1,1,Pending,,8c872938-fc88-472f-848f-115c693ace4b
1918,D,Standing Liberty Silver Quarter,Quarter,Quarter,Pending,,8ca6f3fa-120b-49ce-8114-979109a79bd4
2006P,,State and Territory Quarters,Quarter,Quarter,Pending,,8cb03e0c-55f5-486f-8d29-35d94dd13ca6
2011S,,Roosevelt Dimes,Dime,Dime,Pending,,8cb53f4e-a4cd-42e8-8145-11b3f77cb2cb
2017,P,National Park Quarters,Quarter,Quarter,Pending,,8cc33e74-3937-4f1b-b4d0-f4f3461e93ce
,,1971-1978 Ike Dollar Set,Dollar,Dollar,Pending,,8cd0b542-8aca-40bb-be5e-aa630a10e042
2018,P,America the Beautiful Quarters,Quarter,Quarter,Pending,,8ce90c43-9210-4d62-b8c5-daa73a4241fa
2013,,Lincoln Cent Series,Penny,Penny,Pending,,8ced883c-12e6-4401-b894-e459bb911286
1909,PENDING,Barber Series,Dime,Dime,Pending,,8d16f208-b966-4e6b-a013-c0d362e63ed4
2000,P,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,8d3277d9-c96a-40c3-a6ec-d9ecde9daf9a
1899,,Indian Head Cent,Penny,Penny,Pending,,8d798c4c-1a04-4b8a-84e6-10ac486d01bc
1913,S,Lincoln Cent Series,Penny,Penny,Pending,,8d7c8aed-fcf9-42af-a5b9-2c6bb11c6cd3
1917,,Mercury Dime,Dime,Dime,Pending,,8d8f4fe2-3931-4195-9ead-3632711869d0
1924,S,Mercury Dime,Roosevelt Dime,Roosevelt Dime,Pending,,8d9449d2-786a-4f14-baed-af146f2c171e
1884,CC,Morgan Silver Dollar,Morgan Silver Dollar,Morgan Silver Dollar,Pending,,8d9c01b7-0385-47aa-8e4e-b9a212c9398e
1960,,Time Capsule Year Set,Mixed US Coin Set,Mixed US Coin Set,Pending,,8dce0b7a-e303-41c3-b449-ffadf818cc9e
2021,D,National Park Quarters,Quarter,Quarter,Pending,,8dde5926-3f09-4737-bf91-7c1a4bb40e26
1934,,Washington Silver Quarter,Quarter,Quarter,Pending,,8df47744-1681-4872-8803-8a2c042be1bf
