Year,Denomination,Program/Series,Mint Mark,Count_Missing,Count_Has_Image
1940,Quarter,Washington Silver Quarter,,0,1
2017,Dime,Roosevelt Dimes,D,0,1
1916,Washington Quarter,Standing Liberty Quarter,P,0,1
1882,1 Dollar,Morgan Silver Dollars,P,0,1
2022,Native American Dollar,Native American Dollar Series,D,0,1
1951,Penny,Lincoln Cent,,0,2
1901,Barber Silver Dimes,Barber Dimes,P,0,1
1952,Penny,Lincoln Head Penny,S,0,1
2023,Lincoln Cent,Unknown,,0,1
1935,Penny,Lincoln Cent,,0,2
1867,Unknown,Unknown,,0,1
1942,Penny,Lincoln Cent,D,0,1
2021,Roosevelt Dime,Unknown,S,0,1
1971,Dollar,Eisenhower Dollar,D,0,2
1968,Dime,Roosevelt Dimes,D,0,1
2001,Kennedy Half Dollar,Kennedy Half Dollar Series,P,0,2
1991,Penny,Lincoln Head Penny,,0,1
1943,Half Dollar,Liberty Walking Half Dollar,D,0,1
1947,Quarter,Washington Silver Quarter,D,0,2
1982,Penny,Lincoln Cent,P,0,2
1843,Large Cent,Braided Hair Large Cents,,0,1
1924,Dime,Mercury Dime,D,0,2
1998,Penny,Lincoln Head Penny,D,0,1
1995,Dime,Roosevelt Dimes,D,0,1
1982,Penny,Lincoln Head Penny,,0,2
1903,1 Dollar,Morgan Silver Dollars,P,0,1
1904,25 Cents,Barber Silver Quarters,O,0,1
1976,Dime,Roosevelt Dimes,,0,1
1970,Quarter,Washington Silver Quarter,S,0,1
1923,Penny,Lincoln Wheat Cent,,0,1
1977,Penny,Lincoln Cent Series,D,0,1
1958,Quarter,Washington Quarter,,0,2
2010,Kennedy Half Dollar,Kennedy Half Dollar Series,D,0,1
1982,Kennedy Half Dollar,Unknown,S,0,3
Unknown,Unknown,Unknown,,0,3
1909,Penny,Lincoln Cent VDB,,0,1
1994,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
1937,Half Dollar,Liberty Walking Half Dollar,D,0,1
1942,Dime,Mercury Dime,,0,4
1953,Nickel,Jefferson Nickel,,0,2
1955,Penny,Lincoln Cent,,0,2
2016,Penny,Lincoln Shield Cent,S,0,1
1976,1 Dollar,U.S. Bicentennial,,0,2
1931,Mercury Dime,Mercury Dime,D,0,1
1876,Quarter,Liberty Seated,CC,0,1
1999,Penny,Lincoln Cent Series,D,0,1
2024,American Silver Eagle Dollar,American Eagle Silver Dollar,,0,1
2010,Quarter,National Park Quarters,D,0,3
1974,Kennedy Half Dollar,Kennedy Half Dollar Series,,0,1
2001,Penny,Lincoln Cent,D,0,1
1975,Jefferson Nickel,The U.S. Nickel Collection,,0,1
1911,Penny,Lincoln Head Penny,D,0,1
2015,Quarter,America the Beautiful Quarters,S,0,2
1998,Jefferson Nickel,The U.S. Nickel Collection,,0,1
2001,Quarter,State and Territory Quarters,P,0,5
1944,Quarter,Washington Silver Quarter,D,0,1
1950,Dime,Roosevelt Dimes,S,0,1
1897,Penny,Indian Head Cent,,0,2
1923,Dollar,Peace Dollar,D,0,1
2009,Dime,Roosevelt Dimes,D,0,1
Unknown,Morgan Silver Dollar,Morgan Silver Dollar,D,0,1
2014,Penny,Lincoln Cent,D,0,2
2024,Quarter,American Women Quarters Program,P,0,2
1875,20 Cents,20 Cent Piece,CC,0,1
2025,Roosevelt Dime,Roosevelt Dime,D,0,1
2014,1 Dollar,Native American Dollar,P,0,1
2010,Quarter,America the Beautiful Quarters,P,0,3
1961,Half Dollar,Franklin Half Dollar,,0,3
1921,Penny,Lincoln Head Cent,,0,1
1973,Quarter,Washington Silver Quarter,D,0,1
2003,Dollar,American Eagle,,0,1
1897,25 Cents,Barber Silver Quarters,,0,1
1951,Penny,Lincoln Head Penny,S,0,1
2024,Kennedy Half Dollar,Kennedy Half Dollar,P,0,1
2022,Dime,Roosevelt Dimes,P,0,1
1981,Susan B. Anthony Dollar,Susan B. Anthony Dollar,D,0,1
1861,Half Dollar,Liberty Seated,O,0,1
1914,Penny,Lincoln Cent,S,0,2
1948,Penny,Lincoln Head Penny,D,0,1
1958,Cent,Lincoln Wheat Cent,,0,2
1921,1 Dollar,Morgan Silver Dollar,S,0,1
2011,Quarter,America the Beautiful Quarters,D,0,1
1968,Quarter,Washington Silver Quarter,S,0,1
1873,Nickel,Shield Nickel,,0,1
1884,Dollar,Morgan Silver Dollar,,0,1
1978,1 Dollar,Eisenhower Dollar,S,0,1
1963,Half Dollar,Franklin Half Dollar,D,0,3
1920,Dime,Mercury Dime,D,0,1
1878,Quarter,Liberty Seated,S,0,1
1927,Penny,Lincoln Cent,,0,2
1830,Nickel,Capped Bust,,0,2
1904,Cent,Indian Head Cent,,0,1
2015,Dollar,American Eagle,W,0,3
2016,Quarter,America the Beautiful Quarters,D,0,1
1987,Quarter,Washington Silver Quarter,S,0,1
2004,Dollar,American Eagle,,0,1
2023,Peace Dollar,Peace Dollar,,0,1
1972,Dollar,Eisenhower Dollar,D,0,1
1964,Dime,Roosevelt Dimes,D,0,1
1971,Dime,Roosevelt Dimes,D,0,1
2008,Dollar,American Eagle,W,0,3
1985,Penny,Lincoln Cent,S,0,1
1879,$1,Morgan Silver Dollar,Multiple,0,1
1854,Quarter,Liberty Seated,O,0,2
1916,Penny,Lincoln Head Cent,,0,1
1968,Dime,Roosevelt Dimes,,0,1
1988,Kennedy Half Dollar,Kennedy Half Dollar Series,D,0,1
1906,Half Dollar,Barber,S,0,1
1924,Dime,Mercury Dime,,0,1
1874,Dime,Liberty Seated Silver Dime,,0,1
1905,Penny,Indian Head Cent,,0,1
1951,Half Dollar,Franklin Half Dollar,S,0,1
1961,Dime,Roosevelt Dime,,0,2
1844,Half Dollar,Liberty Seated,O,0,1
1983,Mixed (Proof Set),Clad Proof Set,S,0,1
1887,1 Dollar,Morgan Silver Dollar,O,0,1
1918,Dime,Mercury Dime,D,0,1
1995,Quarter,Washington Silver Quarter,D,0,1
1887,1 Dollar,Morgan Silver Dollars,O,0,1
1905,25 Cents,Barber Silver Quarters,O,0,1
1901,Nickel,Liberty Head Nickel,,0,1
1912,Penny,Lincoln Wheat Cent,,0,1
2000,Dime,Roosevelt Dimes,S,0,1
1914,Dime,Barber Series,S,0,1
2002,Dime,Roosevelt Dimes,S,0,2
Unknown,Barber Quarter,Historic U.S. Silver Coins,P,0,1
1948,Half Dollar,Franklin Half Dollar,,0,3
1939,Nickel,Jefferson Nickel,,0,1
1864,1 Cent,Indian Head Cent,,0,1
1929,Dime,Mercury Dime,S,0,1
1924,Dime,Mercury Dime,S,0,1
1871,Half Dollar,Liberty Seated,,0,1
1997,Penny,Lincoln Cent,S,0,1
2002,Dollar,American Eagle,W,0,1
1878,Half Dollar,Liberty Seated,,0,1
1976,Dollar,Eisenhower Dollar,S,0,4
2012,Quarter,America the Beautiful Quarters,D,0,2
2004,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
2005,Kennedy Half Dollar,Kennedy Half Dollar,D,0,1
1914,Penny,Lincoln Cent,,0,1
2022,Quarter,U.S. Women's Quarters,S,0,1
2012,Quarter,America the Beautiful Quarters,P,0,2
1994,Quarter,Washington Silver Quarter,S,0,1
1913,Penny,Lincoln Wheat Cent Series,,0,2
1932,Penny,Lincoln Wheat Cent,,0,1
1995,Dime,Roosevelt Dimes,S,0,2
1909,Penny,Lincoln Head Cent,,0,1
1947,Penny,Lincoln Cent,S,0,1
1889,Dime,Liberty Seated Silver Dime,S,0,1
1956,Half Dollar,Franklin Half Dollar,,0,4
1947,Penny,Lincoln Cent,D,0,1
1888,$1,Morgan Silver Dollar,,0,2
1909,Penny,VDB,,0,1
1873,Quarter,Liberty Seated,,0,2
2015,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
1946,Penny,Lincoln Head Penny,S,0,2
1927,Dollar,Peace Dollar,S,0,1
2012,Penny,Lincoln Cent Series,,0,1
1832,Nickel,Capped Bust,,0,2
1948,Quarter,Washington Silver Quarter,S,0,1
2007,Dime,Roosevelt Dimes,P,0,1
2011,Dollar,American Eagle,W,0,2
1874,Unknown,Unknown,,0,1
1925,Nickel,Unknown,,0,1
2012,1 Dollar,Native American Dollar,P,0,1
1843,Half Dollar,Liberty Seated,O,0,1
1941,Kennedy Half Dollar,Unknown,S,0,1
1958,Penny,Lincoln Wheat Cent,,0,1
1941,Half Dollar,Liberty Walking Half Dollar,D,0,1
1953,Dime,Roosevelt Dimes,D,0,1
1995,Dime,Roosevelt Dimes,P,0,1
1915,Penny,Lincoln Wheat Cent,,0,1
1975,Dime,Roosevelt Dimes,,0,1
1921,Half Dollar,Liberty Walking Half Dollar,S,0,1
1885,Dollar,Morgan Silver Dollar,O,0,1
1928,Quarter,Standing Liberty Silver Quarter,S,0,1
1996,Kennedy Half Dollar,Kennedy Half Dollar Series,P,0,1
1897,Cent,Indian Head Cent,,0,1
1990,Penny,Lincoln Cent,S,0,1
1918,Penny,Lincoln Head Penny,D,0,1
2022,Kennedy Half Dollar,Unknown,D,0,1
2013,$1,Presidential Dollars,S,0,3
2009,Quarter,State and Territory Quarters,P,0,7
1882,Nickel,Shield Nickel,,0,1
1988,Kennedy Half Dollar,Kennedy Half Dollar,P,0,1
1874,Quarter,Liberty Seated,S,0,1
2012,Kennedy Half Dollar,Kennedy Half Dollar Series,P,0,1
1969,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
1876,Dime,Liberty Seated Silver Dime,,0,1
1955,Half Dollar,Franklin Half Dollar,,0,3
2019,Quarter,National Park Quarters,W,0,1
1848,Nickel,Stars,O,0,1
2001,Dollar,American Eagle,W,0,1
1981,Dime,Roosevelt Dimes,S,0,1
2010,American Silver Eagle Dollar,American Eagle Silver Dollar,,0,1
1901,Half Dollar,Barber,S,0,1
2021,Quarter,America the Beautiful Quarters,P,0,1
1917,Quarter,Standing Liberty Quarter,,0,2
1934,Nickel,Buffalo Nickel,,0,1
1946,Dime,Roosevelt Dime,,0,1
1851,Large Cent,Braided Hair Large Cent,,0,1
2024,Dollar,American Innovation $1 Coin,P,0,1
1902,Dollar,Morgan Silver Dollar,O,0,1
1942,Nickel,Jefferson Nickel Series,S,0,2
1968-98,Quarter,Washington Silver Quarter,,0,1
1845,Large Cent,Braided Hair Large Cents,,0,1
2021,Jefferson Nickel,Unknown,S,0,1
2024,"Mixed (Kennedy Half Dollar, Native American $1 Coin)",Mixed US Coin Programs,"P, D",0,1
1942,Dime,Mercury Dime,S,0,1
1824,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,,0,1
1976,Quarter,Washington Silver Quarter,S,0,3
1959,Half Dollar,Franklin Half Dollar,D,0,1
1891,1 Dollar,Morgan Silver Dollars,,0,2
1876,Half Dollar,Liberty Seated,S,0,1
1916,Roosevelt Dime,Mercury Dime,D,0,1
Multiple,Half Dollar,Barber,,0,1
1888,1 Dollar,Morgan Silver Dollars,P,0,1
2011,1 Dollar,Native American Dollar,D,0,1
1897,Half Dollar,Barber,O,0,1
1926,Quarter,Standing Liberty Silver Quarter,S,0,1
1930,Penny,Lincoln Head Penny,D,0,1
Unknown,Unknown,Celebrating America Coin Collection,,0,1
1905,Unknown,Unknown,,0,1
1949,Dime,Roosevelt Dimes,S,0,1
2011,Quarter,National Park Quarters,S,0,5
1911,Penny,Lincoln Wheat Cent,,0,1
1969,Dime,Unknown,,0,1
1897,25 Cents,Barber Silver Quarters,S,0,1
2011,Dime,Roosevelt Dimes,D,0,1
1986,Dollar,American Eagle,S,0,1
Unknown,Quarter,Club Selection,,0,1
1927,Quarter,Standing Liberty Silver Quarter,,0,1
1978,Quarter,Washington Silver Quarter,D,0,1
1910,Penny,Lincoln Cent,S,0,1
1933,Half Dollar,Liberty Walking Half Dollar,S,0,1
1937,Half Dollar,Liberty Walking Half Dollar,S,0,1
2011,$1,Presidential Dollars,S,0,4
2015,Penny,Lincoln Head Cent,S,0,1
1995,$5,American Eagle Gold Coin,,0,1
1892,Half Dollar,Barber,S,0,1
1960,Dime,Roosevelt Dime,,0,2
1952,Nickel,Jefferson Nickel,,0,1
2008,Dime,Roosevelt Dimes,S,0,2
1954,Quarter,Washington Silver Quarter,D,0,1
2019,$1,American Eagle,,0,2
1977,1 Dollar,Eisenhower Dollar,,0,1
1956,Dime,Mercury Dime,,0,1
1927,Dollar,Peace Dollar,D,0,1
1912,Penny,Lincoln Wheat Cent Series,,0,2
1846,Dollar,Liberty Seated,,0,2
2006,Nickel,Return to Monticello,P,0,1
2010,Quarter,National Park Quarters,S,0,3
2023,Quarter,American Women Quarters,P,0,1
2021,1 Dollar,American Innovation $1 Coin Program,P,0,1
1955,Quarter,Washington Silver Quarter,D,0,2
2020,Dollar,American Innovation $1 Coins,,0,1
1955,Penny,Lincoln Cents,D,0,1
1960,Penny,Lincoln Cents,,0,1
1958,Quarter,Unknown,D,0,1
1996,Dollar,American Eagle,P,0,1
1959,Half Dollar,Franklin Half Dollars,,0,1
1940,Cent,Lincoln Wheat Cent,,0,1
1953,Half Dollar,Franklin Half Dollar,S,0,1
2024,Quarter,American Women Quarters,D,0,2
1926,Morgan Silver Dollar,Morgan Silver Dollar,,0,1
1963,Half Dollar,Franklin Half Dollar,,0,3
2016,Penny,Lincoln Shield Cent,,0,1
1831,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,,0,1
1979,Susan B. Anthony Dollar,Susan B. Anthony Dollar,P,0,1
2013,Quarter,America the Beautiful Quarters,D,0,5
1941,Quarter,Washington Silver Quarter,D,0,1
1937,Quarter,Washington Silver Quarter,D,0,1
1947,Penny,Lincoln Wheat Cent,,0,1
2018,Dime,Roosevelt Dimes,D,0,1
1954,Quarter,Washington Silver Quarter,,0,3
1879,$1,Morgan Silver Dollar,CC,0,1
2011,1 Dollar,Native American Dollar,P,0,1
1968,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
1893,Dollar,Morgan Silver Dollar,O,0,1
1934,Half Dollar,Walking Liberty Half Dollar,D,0,1
1993,Quarter,Washington Silver Quarter,,0,1
1949,Penny,Lincoln Head Cent,D,0,1
2006,Penny,Lincoln Cent,S,0,1
1827,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,,0,1
2013,1 Dollar,Native American Dollar,S,0,1
1993,Dime,Roosevelt Dimes,P,0,1
1892,Dollar,Morgan Silver Dollar,O,0,1
2005,Dime,Roosevelt Dimes,S,0,2
1946,Nickel,Jefferson Nickel Series,D,0,1
1926,Penny,Lincoln Cent,D,0,1
2019,Dollar,American Innovation Dollar,,0,2
2018,1 Dollar,Native American Dollar,D,0,1
1833,Capped Bust Silver Quarter,Capped Bust Silver Quarter Series,,0,1
1863,Half Dollar,Liberty Seated,,0,1
1878,$1,Morgan Silver Dollar Set,S,0,1
1973,Dime,Roosevelt Dimes,,0,1
2013,Penny,Lincoln Cent,D,0,1
1896,Dollar,Morgan Silver Dollar,S,0,1
1930,Nickel,Buffalo Nickel,S,0,1
1967,Quarter,Washington Silver Quarter,,0,1
1977,1 Dollar,Eisenhower Dollar,D,0,1
2009,1 Dollar,Native American Dollar,D,0,1
1997,Kennedy Half Dollar,Kennedy Half Dollar Series,P,0,1
1946,Penny,Lincoln Wheat Cent Series,,0,1
1952,Quarter,Washington Silver Quarter,,0,1
1865,Half Dollar,Liberty Seated,,0,1
2001,Penny,Lincoln Head Penny,D,0,1
1977,Dollar,Eisenhower Dollar,,0,2
1884,Unknown,Unknown,,0,1
2004,Quarter,State and Territory Quarters,P,0,5
1976,Dollar,U.S. Bicentennial,,0,2
1981,Penny,Lincoln Cent Series,S,0,1
1935,Nickel,Buffalo Nickel,,0,2
2006,Quarter,State and Territory Quarters,P,0,5
2021,Kennedy Half Dollar,Kennedy Half Dollar Series,D,0,1
1997,Dime,Roosevelt Dimes,S,0,2
1971,Quarter,Washington Silver Quarter,S,0,1
1906,Penny,Indian Head Cent,,0,1
2013,Kennedy Half Dollar,Kennedy Half Dollar Series,S,0,1
1939,Quarter,Washington Silver Quarter,S,0,1
1983,Kennedy Half Dollar,Kennedy Half Dollar,P,0,1
1925,Dollar,Peace Dollar,S,0,1
1928,Penny,Lincoln Cent,,0,1
1979,Susan B. Anthony Dollar,Susan B. Anthony Dollar,S,0,2
1993,Kennedy Half Dollar,Kennedy Half Dollar Series,P,0,1
1968,Roosevelt Dime,Roosevelt Dime,S,0,1
1973,Dime,Roosevelt Dimes,S,0,1
1936,Penny,Lincoln Wheat Cent Series,,0,2
1941,Dime,Mercury Dime,,0,1
2023,Dime,Roosevelt Dimes,S,0,2
1916,Dime,Mercury Dime,D,0,1
1971,Quarter,Washington Silver Quarter,D,0,1
1917,Quarter,Standing Liberty Silver Quarter (Type 1),,0,1
1959,Quarter,Unknown,D,0,1
1917,Penny,Lincoln Cent,S,0,1
1980,Penny,Lincoln Cent,,0,1
2002,Kennedy Half Dollar,Kennedy Half Dollar,D,0,1
1880,Dollar,Liberty Seated,CC,0,1
1960,Nickel,Jefferson Nickel Series,D,0,1
1863,Quarter,Liberty Seated,,0,2
1928,Penny,Lincoln Head Penny,,0,1
1990,Penny,Lincoln Head Penny,D,0,1
1839,Nickel,Stars No Drapery,O,0,1
1874,Dollar,Indian Head Pattern Dollar,,0,1
1992,Kennedy Half Dollar,Kennedy Half Dollar Series,P,0,1
1986,$1,American Eagle Silver Dollar,,0,1
1913,$5,Indian Head Gold Half Eagle,,0,1
1851,Large Cent,Braided Hair Large Cents,,0,1
2007,Dime,Roosevelt Dimes,D,0,2
2010,Penny,Lincoln Shield Cent,S,0,1
1987,Kennedy Half Dollar,Kennedy Half Dollar Series,D,0,1
1847,Half Dollar,Liberty Seated,,0,1
1845,Liberty Seated Quarter,Liberty Seated,,0,1
1929,Buffalo Nickel,Unknown,S,0,1
1991,Kennedy Half Dollar,Kennedy Half Dollar,P,0,1
2011,Quarter,America the Beautiful Quarters,P,0,1
1917,1 Dime,Mercury Silver Dime,S,0,1
1855,Quarter,Liberty Seated,O,0,1
1953,Half Dollar,Franklin Half Dollar,,0,2
1889,1 Dollar,Morgan Silver Dollar,CC,0,1
1921,Penny,Lincoln Wheat Cent,,0,1
1914,Half Dollar,Barber,S,0,1
1893,Indian Head Cent,Unknown,,0,1
1946,Penny,Lincoln Cent Series,,0,1
2005,Penny,Lincoln Cents,D,0,1
1909,25 Cents,Barber Quarters,,0,1
2001,1 Dollar,Sacagawea Dollar,D,0,1
1989,Dime,Roosevelt Dimes,S,0,1
1939,Half Dollar,Walking Liberty Half Dollar,P,0,1
1888,Dime,Liberty Seated Silver Dime,S,0,1
1944,Quarter,Unknown,,0,1
1926,Dime,Mercury Dime,,0,2
1821,Capped Bust Silver Quarter,Unknown,,0,1
1943,Dime,Unknown,D,0,1
1851,Dime,Liberty Seated Silver Dime,,0,1
1943,Penny,Lincoln Head Penny,D,0,1
1866,Half Dollar,Liberty Seated,S,0,1
1868,Dime,Liberty Seated Silver Dime,,0,1
N/A,$5,"Liberty Head Half Eagle (with Motto, 1866-1908)",,0,1
1973,Penny,Lincoln Cent,S,0,1
1998,Dime,Roosevelt Dimes,D,0,1
2006,Penny,Lincoln Cent Series,,0,1
1920,Penny,Lincoln Head Penny,S,0,1
1866,Nickel,Shield Nickel,,0,1
1917,Quarter,Standing Liberty Silver Quarter (Type 2),D,0,1
1909,Penny,Lincoln Wheat Cent Series,,0,2
1806,25 Cents,Barber Silver Quarters,,0,1
1988,Dollar,American Eagle,,0,1
1915,Penny,Lincoln Cent,D,0,1
1972,1 Dollar,Eisenhower Dollar,S,0,2
2008,Kennedy Half Dollar,Kennedy Half Dollar Series,P,0,1
1949,Penny,Lincoln Wheat Cent,,0,1
1912,Half Dollar,Barber,S,0,1
1970,Dime,Roosevelt Dimes,,0,1
1980,Quarter,Washington Silver Quarter,D,0,1
1876,Half Dollar,Liberty Seated,,0,2
2022,Quarter,American Women Quarters,P,0,2
1930,Dime,Mercury Dime,,0,1
2023,Lincoln Cent,Unknown,D,0,1
1858,Half Dollar,Seated Liberty,S,0,1
1928,Quarter,Standing Liberty Quarter,,0,1
2023,Morgan Silver Dollar,Morgan Silver Dollar,,0,1
1960,Quarter,Washington Silver Quarter,,0,2
1819,Capped Bust Silver Quarter,Unknown,,0,2
1937,Cent,Lincoln Wheat Cent,,0,1
2001,Penny,Lincoln Cent,S,0,1
1985,Quarter,Washington Silver Quarter,S,0,1
1976,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
1925,Penny,Lincoln Wheat Cent,,0,1
1953,Penny,Lincoln Wheat Cent Series,,0,1
2015,Quarter,America the Beautiful Quarters,P,0,5
1960,Dime,Roosevelt Dimes,,0,1
1910,Dime,Barber Dimes,D,0,1
1948,Nickel,Unknown,,0,1
2000,Dollar,American Eagle,P,0,1
1942,Dime,Roosevelt Dimes,D,0,1
1917,Nickel,Buffalo Nickel,,0,1
1906,25 Cents,Barber Silver Quarters,,0,1
Year,Barber Silver Dimes,Barber Dimes,Letter,0,1
1842,Quarter,Liberty Seated,O,0,1
1959,Dime,Roosevelt Dimes,,0,1
1963,Quarter,Washington Silver Quarter,,0,2
1995,Dollar,American Eagle,,0,1
1913,5 cents,Buffalo Nickel,P,0,1
2004,Kennedy Half Dollar,Kennedy Half Dollar Series,P,0,1
1835,Capped Bust Silver Quarter,Unknown,,0,1
1979,Kennedy Half Dollar,Kennedy Half Dollar Series,,0,1
1908,$10,Indian Head Gold Eagle,,0,1
1997,Kennedy Half Dollar,Kennedy Half Dollar Series,D,0,1
1894,Dollar,Morgan Silver Dollar,,0,1
1962,Dime,Roosevelt Dimes,D,0,1
2025,Quarter,American Women Quarters,P,0,2
1864,Half Dollar,Liberty Seated,S,0,1
1943,Dime,Mercury Dime,S,0,1
1954,Nickel,Unknown,D,0,1
1954,Nickel,Jefferson Nickel,,0,1
1909,Half Dollar,Barber,S,0,1
1997,Quarter,Washington Silver Quarter,P,0,1
1973,Kennedy Half Dollar,Kennedy Half Dollar Series,S,0,1
2012,$1,Presidential Dollars,D,0,4
1830,Capped Bust Silver Dime,Capped Bust Dime,,0,1
2017,Kennedy Half Dollar,Kennedy Half Dollar Series,S,0,1
1835,Nickel,Capped Bust,,0,2
1913,Nickel,Buffalo Nickel Type 1,S,0,1
2010,Penny,Lincoln Cent,P,0,1
1971,Penny,Lincoln Head Penny,D,0,1
1937,Penny,Lincoln Cent Series,S,0,1
1871,Half Dollar,Liberty Seated,S,0,1
1994,Dime,Roosevelt Dimes,S,0,2
1855,Nickel,Arrows,,0,1
2010,Quarter,America the Beautiful Quarters,D,0,3
1964,Nickel,Jefferson Nickel,,0,1
1999,Penny,Lincoln Cent,D,0,1
1901,25 Cents,Barber Silver Quarters,O,0,1
1970,Penny,Lincoln Head Penny,S,0,2
1898,25 Cents,Barber Silver Quarters,,0,1
1891,Quarter,Liberty Seated,,0,1
1916,Barber Silver Dime,Unknown,,0,1
1992,$1,American Eagle Silver Dollar,,0,2
1898,Dime,Barber Series,Pending,0,1
1940,Nickel,Jefferson Nickel Series,P,0,1
1978,Quarter,Washington Silver Quarter,,0,1
1945,Dime,Mercury Dime,,0,1
1910,Penny,Lincoln Wheat Cent Series,S,0,1
1953,Cent,Lincoln Wheat Cent,,0,2
1913,Penny,Lincoln Head Penny,S,0,1
2004,1 Dollar,Sacagawea Dollar,P,0,1
1906,Cent,Indian Head Cent,,0,1
1948,Half Dollar,Franklin Half Dollar,D,0,2
2024,Quarter,American Women Quarters,P,0,2
2011,Kennedy Half Dollar,Kennedy Half Dollar,D,0,1
2022,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
1998,Quarter,Washington Silver Quarter,S,0,2
1962,Quarter,Washington Silver Quarter,D,0,1
1925,Penny,Lincoln Head Penny,S,0,1
1858,Half Dollar,Liberty Seated,,0,1
1919,Quarter,Standing Liberty Silver Quarter,S,0,1
1895,1 Dollar,Morgan Silver Dollars,O,0,1
1939,Penny,Lincoln Cent,S,0,1
1999,Dollar,American Eagle,P,0,1
2000,Penny,Lincoln Head Penny,D,0,1
1913,Penny,Lincoln Cent,,0,2
1959,Dime,Mercury Dime,D,0,1
2003,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
2011,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
1861,1 Cent,Indian Head Cent,,0,1
2016,Kennedy Half Dollar,Kennedy Half Dollar,S,0,2
2023,Native American Dollar,Native American Dollar Program,D,0,1
1917,Penny,Lincoln Head Penny,S,0,1
1963,Penny,Lincoln Head Penny,,0,1
1914,Dime,Barber Series,D,0,1
1989,Dollar,American Eagle,,0,1
1955,Penny,Lincoln Head Cent,S,0,1
1921,1 Dollar,Morgan Silver Dollars,D,0,1
1961,Dime,Roosevelt Dimes,D,0,3
1927,Dime,Mercury Dime,S,0,2
1926,Penny,Lincoln Cent,,0,2
1938,Half Dollar,Walking Liberty Half Dollar,,0,1
1910,Barber Silver Dimes,Barber Dimes,P,0,1
2002,Dime,Roosevelt Dimes,D,0,1
2012,Penny,Lincoln Cent Series,S,0,1
1903,1 Dollar,Morgan Silver Dollars,S,0,1
2003,Kennedy Half Dollar,Kennedy Half Dollar,,0,1
1990,Dime,Roosevelt Dimes,P,0,1
1872,Dollar,Liberty Seated,,0,1
1981,Dime,Roosevelt Dimes,P,0,1
2022,Native American Dollar,Native American Dollar Series,P,0,1
1914,Barber Silver Dimes,Barber Dimes,S,0,1
1943,Dime,Mercury Dime,D,0,1
1890,1 Dollar,Morgan Silver Dollars,CC,0,1
1943,Quarter,Washington Silver Quarter,S,0,1
1924,Quarter,Standing Liberty Silver Quarter,D,0,1
1950,Penny,Lincoln Cent,S,0,1
2016,Quarter,America the Beautiful Quarters,P,0,1
1978,Penny,Lincoln Cent,D,0,1
1901,Half Dollar,Barber,O,0,1
1913,Half Dollar,Barber,S,0,1
2015,1 Dollar,Native American Dollar,D,0,1
2002,Quarter,State and Territory Quarters,S,0,9
1955,Penny,Lincoln Wheat Cent,,0,1
1949,Penny,Lincoln Cent,S,0,1
1958,Half Dollar,Franklin Half Dollar,,0,3
1848,Large Cent,Braided Hair Large Cents,,0,1
2019,Dime,Roosevelt Dimes,D,0,1
1974,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
1891,$1,Morgan Silver Dollar,O,0,4
2015,Dime,Roosevelt Dimes,S,0,1
1941,Quarter,Washington Silver Quarter,S,0,1
1940,Penny,Lincoln Cent,,0,1
1921,Half Dollar,Liberty Walking Half Dollar,D,0,1
1823,Capped Bust Silver Dime,Capped Bust,,0,1
1962,Half Dollar,Franklin Half Dollar,D,0,3
1997,Kennedy Half Dollar,Kennedy Half Dollar,S,0,1
1910,Dime,Barber Series,D,0,1
2025,1 Quarter,American Women Quarters Program,D,0,1
1984,Quarter,Washington Silver Quarter,P,0,1
1910,25 Cents,Barber Silver Quarters,O,0,1
1936,Penny,Lincoln Head Penny,D,0,1
1905,Half Dollar,Barber,O,0,1
1879,1 Dollar,Morgan Silver Dollars,S,0,1
1975,Dime,Roosevelt Dimes,S,0,1
1906,Barber Silver Dimes,Barber Dimes,P,0,1
1942,Nickel,Jefferson Nickel,,0,2
2007,Kennedy Half Dollar,Kennedy Half Dollar Series,D,0,1
1931,Penny,Lincoln Cent,,0,2
1926,Dollar,Peace Dollar,D,0,1
1880,1 Dollar,Morgan Silver Dollars,O,0,1
1879,Quarter,Liberty Seated,,0,2
1957,Penny,Lincoln Wheat Cent,,0,1
1897,Half Dollar,Barber,S,0,1
1960,Half Dollar,Franklin Half Dollar,,0,2
1989,Dollar,American Eagle,S,0,1
1964,Nickel,Unknown,,0,1
1994,Dime,Roosevelt Dimes,P,0,1
1889,Unknown,Unknown,,0,1
1925,Quarter,Standing Liberty Quarter,,0,1
2023,Kennedy Half Dollar,Unknown,S,0,1
1942,Nickel,Jefferson Wartime Nickel,P,0,2
1986,Penny,Lincoln Cent,,0,1
